,Регион,Год,Выброс загрезнений(тыс.тонн)
403,Алматинская,2028.0,27.62074303405643
515,Жетісу,2028.0,13.08
571,Карагандинская,2028.0,134.80282077743323
739,Северо-Казахстанская,2028.0,68.71503267973861
431,Атырауская,2028.0,194.12108703130252
908,Ұлытау,2029.0,105.0
572,Карагандинская,2029.0,92.30952872376656
460,Восточно-Казахстанская,2029.0,88.44599243205994
628,Кызылординская,2029.0,19.66553147574814
376,Актюбинская,2029.0,103.35431716546373
824,г. Алматы,2029.0,64.49380804953489
684,Павлодарская,2029.0,776.4286480908158
796,Южно-Казахстанская,2029.0,106.97362637362676
488,Жамбылская,2029.0,78.4631922944618
880,г.Шымкент,2029.0,38.1400000000001
852,г. Астана,2029.0,72.20956312349495
656,Мангистауская,2029.0,77.1180598555211
432,Атырауская,2029.0,198.6106639146874
740,Северо-Казахстанская,2029.0,68.4934640522876
768,Туркестанская ,2029.0,16.4699999999998
516,Жетісу,2029.0,13.08
348,Акмолинская,2029.0,94.18238734090164
544,Западно-Казахстанская,2029.0,19.09552803577617
600,Костанайская,2029.0,129.96216030271762
320,Абай,2029.0,39.0
404,Алматинская,2029.0,25.523323013416302
712,Республика Казахстан,2029.0,2042.6391553040885
853,г. Астана,2030.0,73.19656002751981
321,Абай,2030.0,39.0
489,Жамбылская,2030.0,81.08734090127291
601,Костанайская,2030.0,131.04430684554518
545,Западно-Казахстанская,2030.0,17.291296869625512
713,Республика Казахстан,2030.0,2016.1171087251423
573,Карагандинская,2030.0,49.8162366700999
629,Кызылординская,2030.0,18.94932920536644
909,Ұлытау,2030.0,105.0
741,Северо-Казахстанская,2030.0,68.27189542483666
349,Акмолинская,2030.0,95.2411076711387
377,Актюбинская,2030.0,100.06391468868333
881,г.Шымкент,2030.0,38.799999999999955
825,г. Алматы,2030.0,66.87512899896774
517,Жетісу,2030.0,13.08
797,Южно-Казахстанская,2030.0,110.10549450549479
685,Павлодарская,2030.0,785.8999587203289
433,Атырауская,2030.0,203.10024079807226
405,Алматинская,2030.0,23.425902992776173
461,Восточно-Казахстанская,2030.0,85.32566219470209
769,Туркестанская ,2030.0,15.059999999999945
657,Мангистауская,2030.0,77.60309597523212
574,Карагандинская,2031.0,7.322944616433233
518,Жетісу,2031.0,13.08
602,Костанайская,2031.0,132.12645338837274
630,Кызылординская,2031.0,18.23312693498451
406,Алматинская,2031.0,21.328482972136044
798,Южно-Казахстанская,2031.0,113.23736263736282
378,Актюбинская,2031.0,96.77351221190293
770,Туркестанская ,2031.0,13.649999999999636
826,г. Алматы,2031.0,69.25644994839968
742,Северо-Казахстанская,2031.0,68.05032679738565
434,Атырауская,2031.0,207.58981768145713
854,г. Астана,2031.0,74.18355693154444
714,Республика Казахстан,2031.0,1989.5950621461961
882,г.Шымкент,2031.0,39.460000000000036
350,Акмолинская,2031.0,96.29982800137623
462,Восточно-Казахстанская,2031.0,82.20533195734424
686,Павлодарская,2031.0,795.3712693498455
322,Абай,2031.0,39.0
658,Мангистауская,2031.0,78.08813209494326
490,Жамбылская,2031.0,83.71148950808401
546,Западно-Казахстанская,2031.0,15.4870657034744
910,Ұлытау,2031.0,105.0
883,г.Шымкент,2032.0,40.12000000000012
379,Актюбинская,2032.0,93.48310973512253
911,Ұлытау,2032.0,105.0
351,Акмолинская,2032.0,97.35854833161375
855,г. Астана,2032.0,75.17055383556931
323,Абай,2032.0,39.0
827,г. Алматы,2032.0,71.63777089783252
575,Карагандинская,2032.0,-35.17034743721888
799,Южно-Казахстанская,2032.0,116.36923076923085
631,Кызылординская,2032.0,17.51692466460281
407,Алматинская,2032.0,19.231062951496824
491,Жамбылская,2032.0,86.33563811489512
659,Мангистауская,2032.0,78.57316821465429
463,Восточно-Казахстанская,2032.0,79.08500171998548
687,Павлодарская,2032.0,804.8425799793586
603,Костанайская,2032.0,133.20859993120075
435,Атырауская,2032.0,212.079394564842
715,Республика Казахстан,2032.0,1963.07301556725
547,Западно-Казахстанская,2032.0,13.682834537323743
519,Жетісу,2032.0,13.08
771,Туркестанская ,2032.0,12.239999999999782
743,Северо-Казахстанская,2032.0,67.8287581699347
800,Южно-Казахстанская,2033.0,119.50109890109889
660,Мангистауская,2033.0,79.05820433436531
912,Ұлытау,2033.0,105.0
772,Туркестанская ,2033.0,10.829999999999927
576,Карагандинская,2033.0,-77.66363949088554
828,г. Алматы,2033.0,74.01909184726446
548,Западно-Казахстанская,2033.0,11.878603371173085
688,Павлодарская,2033.0,814.3138906088752
632,Кызылординская,2033.0,16.800722394220884
856,г. Астана,2033.0,76.15755073959394
716,Республика Казахстан,2033.0,1936.5509689882965
744,Северо-Казахстанская,2033.0,67.6071895424837
884,г.Шымкент,2033.0,40.77999999999997
604,Костанайская,2033.0,134.2907464740283
464,Восточно-Казахстанская,2033.0,75.96467148262764
352,Акмолинская,2033.0,98.41726866185081
492,Жамбылская,2033.0,88.95978672170622
324,Абай,2033.0,39.0
380,Актюбинская,2033.0,90.19270725834212
436,Атырауская,2033.0,216.56897144822688
520,Жетісу,2033.0,13.08
408,Алматинская,2033.0,17.133642930856695
381,Актюбинская,2034.0,86.90230478156263
913,Ұлытау,2034.0,105.0
801,Южно-Казахстанская,2034.0,122.63296703296692
521,Жетісу,2034.0,13.08
605,Костанайская,2034.0,135.37289301685587
549,Западно-Казахстанская,2034.0,10.074372205022428
829,г. Алматы,2034.0,76.40041279669731
409,Алматинская,2034.0,15.036222910216566
745,Северо-Казахстанская,2034.0,67.38562091503275
437,Атырауская,2034.0,221.05854833161357
633,Кызылординская,2034.0,16.084520123838956
717,Республика Казахстан,2034.0,1910.0289224093503
689,Павлодарская,2034.0,823.7852012383919
465,Восточно-Казахстанская,2034.0,72.84434124526979
493,Жамбылская,2034.0,91.58393532851733
773,Туркестанская ,2034.0,9.419999999999618
577,Карагандинская,2034.0,-120.15693154455221
661,Мангистауская,2034.0,79.54324045407634
325,Абай,2034.0,39.0
857,г. Астана,2034.0,77.14454764361881
885,г.Шымкент,2034.0,41.440000000000055
353,Акмолинская,2034.0,99.47598899208833
690,Павлодарская,2035.0,833.2565118679049
606,Костанайская,2035.0,136.45503955968343
354,Акмолинская,2035.0,100.53470932232585
