,Регион,Год,Выделенный бюджет на защиту экологии
376,Актюбинская,2029.0,44840421.72789812
824,г. Алматы,2029.0,7781164.457550764
684,Павлодарская,2029.0,41906297.4342618
796,Южно-Казахстанская,2029.0,10717761.44615376
488,Жамбылская,2029.0,8099521.429858923
880,г.Шымкент,2029.0,4348110.599999964
852,г. Астана,2029.0,4189597.9517371655
656,Мангистауская,2029.0,8379687.5764706135
432,Атырауская,2029.0,73670007.98455429
740,Северо-Казахстанская,2029.0,5865017.927519798
768,Туркестанская,2029.0,2024447.199999988
516,Жетісу,2029.0,973288.0
348,Акмолинская,2029.0,5430559.036601305
544,Западно-Казахстанская,2029.0,17378784.671138763
600,Костанайская,2029.0,15478346.746233225
320,Абай,2029.0,4569245.0
404,Алматинская,2029.0,2698160.2441348433
712,Республика Казахстан,2029.0,338042134.1882019
853,г. Астана,2030.0,4379591.672996163
321,Абай,2030.0,4569245.0
489,Жамбылская,2030.0,8444559.487340927
601,Костанайская,2030.0,15841583.054592371
545,Западно-Казахстанская,2030.0,18169580.24203658
713,Республика Казахстан,2030.0,350581685.7824211
573,Карагандинская,2030.0,44522082.94076347
629,Кызылординская,2030.0,4430949.517543852
909,Ұлытау,2030.0,12860844.0
741,Северо-Казахстанская,2030.0,6139952.825352669
349,Акмолинская,2030.0,5670247.96405226
377,Актюбинская,2030.0,46681740.708909035
881,г.Шымкент,2030.0,4169885.0
825,г. Алматы,2030.0,8076228.01431036
517,Жетісу,2030.0,973288.0
797,Южно-Казахстанская,2030.0,11146678.007692218
685,Павлодарская,2030.0,43416185.20206356
433,Атырауская,2030.0,76620430.23481178
405,Алматинская,2030.0,2795510.488200873
461,Восточно-Казахстанская,2030.0,39261507.33914709
769,Туркестанская,2030.0,2087665.799999997
657,Мангистауская,2030.0,8058718.025490165
574,Карагандинская,2031.0,46074991.2381835
518,Жетісу,2031.0,973288.0
602,Костанайская,2031.0,16204819.362951517
630,Кызылординская,2031.0,4557523.577192992
406,Алматинская,2031.0,2892860.7322669327
798,Южно-Казахстанская,2031.0,11575594.569230676
378,Актюбинская,2031.0,48523059.689920425
770,Туркестанская,2031.0,2150884.399999991
826,г. Алматы,2031.0,8371291.571069837
742,Северо-Казахстанская,2031.0,6414887.723185539
434,Атырауская,2031.0,79570852.48507023
854,г. Астана,2031.0,4569585.394255221
714,Республика Казахстан,2031.0,363121237.37664413
882,г.Шымкент,2031.0,3991659.399999976
350,Акмолинская,2031.0,5909936.891503274
462,Восточно-Казахстанская,2031.0,40767358.535122395
686,Павлодарская,2031.0,44926072.9698658
322,Абай,2031.0,4569245.0
658,Мангистауская,2031.0,7737748.474509835
490,Жамбылская,2031.0,8789597.544822812
546,Западно-Казахстанская,2031.0,18960375.8129344
910,Ұлытау,2031.0,12860844.0
883,г.Шымкент,2032.0,3813433.800000012
379,Актюбинская,2032.0,50364378.670931816
911,Ұлытау,2032.0,12860844.0
351,Акмолинская,2032.0,6149625.818954229
855,г. Астана,2032.0,4759579.115514219
323,Абай,2032.0,4569245.0
827,г. Алматы,2032.0,8666355.127829432
575,Карагандинская,2032.0,47627899.53560352
799,Южно-Казахстанская,2032.0,12004511.130769253
631,Кызылординская,2032.0,4684097.636842102
407,Алматинская,2032.0,2990210.9763329923
491,Жамбылская,2032.0,9134635.602304816
659,Мангистауская,2032.0,7416778.9235293865
463,Восточно-Казахстанская,2032.0,42273209.73109722
687,Павлодарская,2032.0,46435960.73766756
603,Костанайская,2032.0,16568055.671310663
435,Атырауская,2032.0,82521274.73532867
715,Республика Казахстан,2032.0,375660788.97086334
547,Западно-Казахстанская,2032.0,19751171.383832216
519,Жетісу,2032.0,973288.0
771,Туркестанская,2032.0,2214103.0
743,Северо-Казахстанская,2032.0,6689822.6210182905
800,Южно-Казахстанская,2033.0,12433427.69230771
660,Мангистауская,2033.0,7095809.372549057
912,Ұлытау,2033.0,12860844.0
772,Туркестанская,2033.0,2277321.599999994
576,Карагандинская,2033.0,49180807.83302355
828,г. Алматы,2033.0,8961418.68458891
548,Западно-Казахстанская,2033.0,20541966.954730034
688,Павлодарская,2033.0,47945848.50546932
632,Кызылординская,2033.0,4810671.696491212
856,г. Астана,2033.0,4949572.836773276
716,Республика Казахстан,2033.0,388200340.56508636
744,Северо-Казахстанская,2033.0,6964757.518851161
884,г.Шымкент,2033.0,3635208.199999988
604,Костанайская,2033.0,16931291.97966981
464,Восточно-Казахстанская,2033.0,43779060.927072525
352,Акмолинская,2033.0,6389314.746405244
492,Жамбылская,2033.0,9479673.659786701
324,Абай,2033.0,4569245.0
380,Актюбинская,2033.0,52205697.65194321
436,Атырауская,2033.0,85471696.98558617
520,Жетісу,2033.0,973288.0
408,Алматинская,2033.0,3087561.220399022
381,Актюбинская,2034.0,54047016.6329546
913,Ұлытау,2034.0,12860844.0
801,Южно-Казахстанская,2034.0,12862344.253846169
521,Жетісу,2034.0,973288.0
605,Костанайская,2034.0,17294528.288028955
549,Западно-Казахстанская,2034.0,21332762.52562785
829,г. Алматы,2034.0,9256482.241348505
409,Алматинская,2034.0,3184911.4644650817
745,Северо-Казахстанская,2034.0,7239692.416683912
437,Атырауская,2034.0,88422119.23584461
633,Кызылординская,2034.0,4937245.756140351
717,Республика Казахстан,2034.0,400739892.1593056
689,Павлодарская,2034.0,49455736.273271084
465,Восточно-Казахстанская,2034.0,45284912.12304783
493,Жамбылская,2034.0,9824711.717268705
773,Туркестанская,2034.0,2340540.199999988
577,Карагандинская,2034.0,50733716.13044357
661,Мангистауская,2034.0,6774839.821568608
325,Абай,2034.0,4569245.0
857,г. Астана,2034.0,5139566.558032274
885,г.Шымкент,2034.0,3456982.5999999642
353,Акмолинская,2034.0,6629003.673856199
690,Павлодарская,2035.0,50965624.041072845
606,Костанайская,2035.0,17657764.596387982
354,Акмолинская,2035.0,6868692.601307154
410,Алматинская,2035.0,3282261.7085311115
662,Мангистауская,2035.0,6453870.270588279
550,Западно-Казахстанская,2035.0,22123558.09652567
914,Ұлытау,2035.0,12860844.0
326,Абай,2035.0,4569245.0
522,Жетісу,2035.0,973288.0
746,Северо-Казахстанская,2035.0,7514627.314516783
802,Южно-Казахстанская,2035.0,13291260.815384626
886,г.Шымкент,2035.0,3278757.0
774,Туркестанская,2035.0,2403758.799999997
466,Восточно-Казахстанская,2035.0,46790763.31902313
830,г. Алматы,2035.0,9551545.798107982
494,Жамбылская,2035.0,10169749.77475059
382,Актюбинская,2035.0,55888335.61396599
858,г. Астана,2035.0,5329560.279291332
578,Карагандинская,2035.0,52286624.4278636
634,Кызылординская,2035.0,5063819.815789461
438,Атырауская,2035.0,91372541.4861021
718,Республика Казахстан,2035.0,413279443.7535248
439,Атырауская,2036.0,94322963.73636055
327,Абай,2036.0,4569245.0
635,Кызылординская,2036.0,5190393.875438601
719,Республика Казахстан,2036.0,425818995.3477478
747,Северо-Казахстанская,2036.0,7789562.212349534
551,Западно-Казахстанская,2036.0,22914353.667423487
495,Жамбылская,2036.0,10514787.832232475
467,Восточно-Казахстанская,2036.0,48296614.514998436
411,Алматинская,2036.0,3379611.952597171
887,г.Шымкент,2036.0,3100531.399999976
775,Туркестанская,2036.0,2466977.399999991
383,Актюбинская,2036.0,57729654.59497738
607,Костанайская,2036.0,18021000.90474713
691,Павлодарская,2036.0,52475511.808875084
915,Ұлытау,2036.0,12860844.0
859,г. Астана,2036.0,5519554.000550389
831,г. Алматы,2036.0,9846609.354867578
355,Акмолинская,2036.0,7108381.528758168
579,Карагандинская,2036.0,53839532.72528362
663,Мангистауская,2036.0,6132900.71960783
523,Жетісу,2036.0,973288.0
803,Южно-Казахстанская,2036.0,13720177.376923084
356,Акмолинская,2037.0,7348070.456209123
608,Костанайская,2037.0,18384237.213106275
720,Республика Казахстан,2037.0,438358546.941967
888,г.Шымкент,2037.0,2922305.800000012
552,Западно-Казахстанская,2037.0,23705149.238321304
328,Абай,2037.0,4569245.0
692,Павлодарская,2037.0,53985399.576676846
636,Кызылординская,2037.0,5316967.935087711
580,Карагандинская,2037.0,55392441.02270365
440,Атырауская,2037.0,97273385.98661804
496,Жамбылская,2037.0,10859825.88971448
664,Мангистауская,2037.0,5811931.1686275005
804,Южно-Казахстанская,2037.0,14149093.938461542
860,г. Астана,2037.0,5709547.721809387
524,Жетісу,2037.0,973288.0
748,Северо-Казахстанская,2037.0,8064497.1101824045
916,Ұлытау,2037.0,12860844.0
468,Восточно-Казахстанская,2037.0,49802465.71097374
412,Алматинская,2037.0,3476962.196663201
776,Туркестанская,2037.0,2530196.0
384,Актюбинская,2037.0,59570973.57598877
832,г. Алматы,2037.0,10141672.911627173
665,Мангистауская,2038.0,5490961.617647052
469,Восточно-Казахстанская,2038.0,51308316.90694904
413,Алматинская,2038.0,3574312.4407292604
